meadowID,area_ha
129067,6.59933
129068,2.40723
129069,1.26917
129070,3.891
129071,6.105
129072,3.87679
129073,5.39943
129074,2.99803
129076,1.94941
129077,1.164
129078,2.50986
129079,2.15299
129080,4.72503
129081,28.76376
129086,3.44928
129087,1.51512
129089,0.68856
129090,2.59584
129091,3.42268
129092,2.87164
129093,1.88059
130001,4.77277
130002,3.84925
130003,8.55698
130004,8.80065
130006,4.46616
130007,4.25163
130008,3.46926
130009,11.95642
130010,6.94398
130011,4.07014
130012,4.02292
130013,6.96158
130014,4.51039
130015,2.6631
130016,1.73045
130017,4.44091
130018,6.13756
130019,4.33786
130020,4.19098
130021,3.82617
130022,2.97694
130023,5.63045
130024,5.02585
130025,4.49467
130026,7.74842
130027,2.55412
130028,7.22552
130029,7.1626
130030,5.93632
130031,2.14913
131001,5.14176
131002,5.69842
131003,6.5748
131004,2.31323
131005,4.14515
131006,3.63615
131007,3.4391
131008,4.29616
131009,3.70806
131010,4.11679
131011,4.491
131012,4.48965
131013,4.64583
131014,1.31083
131015,3.02722
131016,10.74673
131017,4.97118
131018,4.53122
131019,3.93011
131023,2.23756
131024,5.19082
131025,2.01524
131026,2.42165
131027,3.3399
131028,6.14925
131029,1.81414
131030,0.93371
131031,3.8342
131032,3.79088
131033,4.0844
131034,1.84059
131035,3.57497
131036,4.94571
131037,5.59464
131038,5.62734
131039,3.66855
131040,2.07059
131041,1.01879
131042,3.05597
131043,2.27899
131044,3.16378
131045,2.40464
131046,3.20329
131047,4.38276
131049,1.59394
131050,5.85792
131051,2.41316
131052,2.29615
131053,4.3913
131056,2.11217
131057,7.9749
131058,0.9121
131059,2.00063
131060,3.5013
131061,2.65096
131062,3.78033
131063,2.36929
131064,3.52682
131065,4.1292
131066,2.73908
131067,3.33382
131069,5.27011
131070,2.61511
131071,5.00088
131073,1.46963
131074,2.69775
133001,2.92999
133002,3.85403
133003,5.66338
133005,3.17652
133006,2.86006
133007,4.79215
133008,3.01364
133009,2.22605
133010,4.37435
133011,5.20814
133012,1.14823
133013,3.07581
133014,2.46791
133015,2.55928
133016,2.8561
133017,2.40483
133018,1.50534
133019,0.63442
133020,4.89994
133021,0.63616
133022,3.58198
133023,8.78414
133024,2.03465
133025,4.01564
133026,3.49496
133027,4.23424
133028,3.8588
133029,1.25557
133031,3.21612
133032,1.55317
133033,2.29361
133034,2.79125
133036,2.90423
133037,1.81435
133038,2.37559
133039,3.73935
133040,2.10059
133041,1.60765
133042,2.06684
133043,1.61339
133044,3.71264
133045,1.20448
133046,1.72477
133047,4.30878
133048,2.80905
133049,1.93914
133050,1.85133
133051,2.86334
134002,4.3105
134003,2.66486
134004,2.37493
134005,3.03209
134006,3.02767
134007,2.24151
134008,3.07389
134009,3.18204
134010,6.25561
134011,2.31761
134012,2.77377
134013,3.93457
134014,1.72769
134015,1.80509
134016,2.2768
134017,1.88798
134018,4.14346
134019,4.11754
134020,4.40562
134021,2.60406
134022,2.95228
134023,2.5941
134024,2.22841
134025,3.37635
134026,3.33576
134027,2.67356
134028,3.70543
134029,15.98397
134031,1.69895
134032,1.31321
134033,3.26524
134034,2.61593
134035,3.861
134038,3.29518
134039,4.01696
134040,6.81445
134041,3.39994
134042,1.59637
134043,2.42771
134044,2.17965
134046,5.84468
134047,2.79695
134048,2.80213
134049,2.71148
134050,3.37928
134051,5.04326
134052,6.65742
134053,6.26987
134056,3.58773
134057,8.38353
134058,0.99622
134059,1.79798
134060,8.33203
134062,6.33684
134063,3.55718
134064,3.53479
134066,2.73698
134067,1.81838
134068,4.26394
134070,7.86226
134072,4.1885
134073,1.91993
134074,1.06421
134075,6.5565
134076,1.47146
134077,2.07447
134078,2.58415
134079,1.34102
134080,1.58142
134081,3.70668
134082,6.12959
134083,2.83767
134084,2.36337
134085,4.76256
134086,2.32969
134087,1.31941
134088,1.73724
134089,4.07201
134090,5.35542
134091,2.39832
134092,2.03904
134093,2.2512
134094,4.43359
134095,2.86999
134096,2.79438
134097,2.64133
134098,4.56402
134099,2.30059
134100,3.84983
134101,1.84676
134102,1.44956
134103,2.43332
134104,4.6797
134105,2.45986
134106,3.86174
134108,6.60738
134109,1.35075
134110,4.1861
134111,5.38337
134112,1.25529
134113,4.11004
134114,3.26978
134115,2.042
134116,3.40816
134117,4.42315
134118,1.17561
134121,4.27955
134122,0.50705
134123,1.5745
134124,0.53151
134125,0.51199
134126,6.12192
134127,7.30668
134128,2.25543
134129,4.17656
134131,2.9185
134132,1.15634
134133,1.90809
137001,5.23583
137002,2.60187
137003,1.26712
137004,8.81728
137005,2.94613
137006,4.1637
137007,6.81655
137008,3.66885
137009,3.67
137010,2.55028
137011,3.6845
137012,3.82821
137013,2.04509
137014,9.65308
137015,2.00845
137017,1.84341
137018,1.96216
137019,3.92436
137020,12.13746
137021,4.68856
137022,6.37961
137023,5.1167
137024,3.8764
137025,4.50416
137026,0.96894
137027,1.14912
137028,4.49595
137029,3.27508
137030,1.22079
137031,1.45821
137032,2.79672
137033,2.31057
137036,2.84582
137037,3.28002
137038,3.41694
137039,3.01809
137040,12.7739
137041,4.37552
137042,1.65861
137045,1.80728
137046,1.48571
137047,1.38452
137048,3.45251
137049,5.87832
137050,1.9986
137051,3.90162
137052,3.25371
137053,2.84432
137054,2.0238
137055,3.52877
137056,3.29614
137057,2.62432
137058,1.94761
137059,4.63531
137060,2.73006
137061,4.26028
137062,2.13108
137063,1.48821
137064,2.22423
138001,2.26203
138002,2.59598
138003,1.7348
138004,2.02266
138005,1.92241
138006,1.52161
138007,2.40073
138008,3.21685
138009,2.42826
138010,3.17271
138012,6.91363
138013,2.13368
138014,6.37257
138015,4.91405
138016,8.482
138017,7.79807
138018,2.32541
138019,7.56731
138020,3.05364
138021,1.94188
138022,1.65627
138023,1.77302
138024,3.73351
138025,4.76823
138026,2.38914
138027,3.42839
138028,4.12458
138029,2.20456
138030,3.64439
138031,6.7766
138032,4.08106
138033,2.3309
138034,2.84812
138035,2.61162
138036,2.05902
138037,1.50522
138038,3.99243
138039,3.18785
138040,3.08221
138041,4.68547
138042,1.9268
138043,3.44041
138044,3.52538
138045,3.57466
138046,5.73017
138047,3.20355
138048,2.62599
138049,3.18376
138050,2.64937
138051,5.30155
138052,2.873
138053,2.54884
138054,4.53111
138055,2.40347
138056,1.81023
138057,6.1791
138058,5.04437
142001,3.14521
142002,7.36669
142003,4.62564
142004,7.0345
142005,6.12605
142006,5.45242
142007,4.86549
142008,6.41335
142009,0.44271
142010,3.93169
142011,5.85114
142012,3.80178
142013,4.40787
142014,6.64989
142015,1.79849
142016,6.55134
142017,4.23998
142018,4.0564
142019,4.34358
142020,4.57501
142021,3.63053
142022,5.50414
142023,2.97484
142024,1.44366
142025,2.83219
142028,3.60371
142029,6.50213
142030,4.49854
142031,4.48507
142032,2.9971
142033,2.22107
